,client_id,pit,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
424,19384,25/10/2016,50.39655417,0.597537744,-4362.102889,19631.60658,845.3366565,363.4253535,583.0,840.5,4.0,328373.0,between 2.5 and 3 years,,0,1,bad
425,4566,20/05/2017,17858.05205,0.597455621,19941.42786,35.61327889,0.0,0.0,673.0,975.5,16.0,103934.0,between 2 and 2.5 years,0.0,0,0,good
428,20393,16/10/2016,5902.965856,0.596758126,2021.117536,7923.799290000001,0.0,0.0,638.0,923.0,5.0,419913.0,between 20 and 25 years,,0,0,good
430,24848,30/11/2016,30129.783839999996,0.596504344,28713.47627,11382.00446,1510.697441,447.164579,725.0,1053.5,,,between 3 and 5 years,,0,0,bad
431,7522,19/06/2017,14491.41345,0.5964890039999999,3499.032893,15998.78376,0.0,0.0,623.0,900.5,6.0,142323.0,between 12 and 14 years,21.0,0,0,bad
432,8449,20/02/2017,4486.831722,0.596212561,591.5794557,9499.496481999999,2557.9398760000004,275.05727060000004,591.0,852.5,18.0,29322.0,,,0,0,bad
434,19502,11/2/16,3295.423198,0.595880218,2945.340893,2082.0039269999997,673.0518112000001,219.47569109999998,629.0,909.5,2.0,415.0,between 2.5 and 3 years,,0,0,bad
435,7485,3/8/17,12828.91137,0.594028409,14081.32328,5111.26782,0.0,0.0,687.0,996.5,15.0,241014.0,between 8 and 10 years,,0,0,bad
437,21016,9/2/17,34396.15112,0.592239544,24212.94806,18166.055790000002,0.0,0.0,694.0,1007.0,5.0,426493.0,between 8 and 10 years,23.0,0,0,good
438,18144,16/08/2017,39908.11243,0.5919330939999999,18025.578690000002,60481.752660000006,0.0,0.0,619.0,894.5,17.0,413860.0,between 1.5 and 2 years,24.0,0,0,good
440,16552,12/4/16,2864.0038489999997,0.591669444,3162.558377,2039.5525059999998,685.9643765,229.5458174,684.0,992.0,0.0,12046.0,between 2 and 2.5 years,,0,0,bad
442,1135,6/5/17,15627.42884,0.591052421,673.1424078,20012.09926,0.0,0.0,752.0,1094.0,7.0,102795.0,between 6 and 8 years,23.0,0,0,bad
444,12390,1/7/17,23955.54778,0.590401439,50.79111135,20162.28758,459.2227089,215.53709320000002,662.0,959.0,92.0,207321.0,between 1 and 1.5 years,,0,0,bad
445,23313,24/09/2017,8655.96197,0.590162041,-1078.4911029999998,21226.513880000002,9142.985679000001,694.0131834,662.0,959.0,15.0,430998.0,between 20 and 25 years,0.0,0,0,bad
