,client_id,pit,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
641,36362,29/04/2017,10205.32223,0.531490673,4594.535054999999,10401.59406,671.1145801,673.8270533,646.0,935.0,11.0,437789.0,between 17 and 20 years,15.0,0,0,bad
642,28874,19/09/2016,16014.904819999998,0.531426511,20057.313309999998,-94.77702602,14172.721469999999,7086.712373,791.0,1152.5,2.0,285139.0,between 3 and 5 years,,0,0,bad
645,11833,1/8/17,-0.546206764,0.5307397110000001,-1624.94669,11703.63502,458.7761806,344.7743724,649.0,939.5,18.0,307420.0,,,0,0,bad
646,5192,29/05/2017,18598.533030000002,0.530655632,1009.158052,29201.30734,1177.7157630000002,619.2728574,601.0,867.5,81.0,115929.0,between 3 and 5 years,0.0,0,0,bad
648,44006,15/11/2016,29140.08919,0.530412216,22115.85598,22892.58338,6530.789441,848.7452935,590.0,851.0,30.0,223233.0,between 20 and 25 years,,0,0,bad
651,11692,7/9/17,19.00181708,0.530193429,-6884.041566,26904.952,444.20366789999997,440.66738119999997,667.0,966.5,23.0,332996.0,between 1.5 and 2 years,,0,0,bad
652,7032,17/06/2017,676.5784361000001,0.529977176,-726.4100297,8742.12291,2742.780166,465.1006142,667.0,966.5,19.0,548333.0,between 2.5 and 3 years,0.0,0,0,bad
654,13697,1/1/17,40539.43208,0.529759045,38990.2696,15648.538069999999,0.0,0.0,,-34.0,3.0,,less than 0.5 year,,0,0,good
655,12320,23/01/2017,11970.188040000001,0.5296494589999999,16383.3784,23554.189,0.0,0.0,687.0,996.5,7.0,159707.0,,,0,0,bad
656,15658,12/7/16,1988.502474,0.529645535,341.3821869,9573.004398000001,2062.891675,355.20328589999997,658.0,953.0,9.0,474286.0,between 2.5 and 3 years,,0,1,bad
657,7314,2/12/17,7237.830534000001,0.529467161,3323.725878,12126.28196,2237.984012,348.3866817,670.0,971.0,49.0,84805.0,,,0,0,bad
658,23159,17/09/2017,2932.017739,0.529370326,2007.459913,4036.461835,1900.331905,324.1771218,635.0,918.5,4.0,60750.0,,0.0,0,0,bad
659,2120,30/04/2017,13444.54663,0.529370019,1951.6260530000002,18031.25611,1484.665295,275.9444978,610.0,881.0,0.0,69517.0,between 1 and 1.5 years,0.0,0,0,bad
660,19686,25/10/2016,2101.526542,0.52901511,3462.6675210000003,1521.20816,507.86357239999995,92.09914915,624.0,902.0,4.0,4155.0,,,0,0,bad
661,1682,4/4/17,4596.972325,0.528570321,6338.891541,3657.625064,2189.820694,484.40460650000006,722.0,1049.0,5.0,485655.0,between 6 and 8 years,2.0,0,0,bad
662,11565,30/01/2017,71010.71733,0.528493213,289.79018199999996,40855.306489999995,0.0,0.0,731.0,1062.5,0.0,69875.0,,,0,0,good
663,24064,28/08/2016,20513.49215,0.526953611,1785.6854280000002,8749.623228,583.8000626,402.1540794,569.0,819.5,5.0,360927.0,between 20 and 25 years,,0,0,bad
665,12818,1/4/17,1141.6328859999999,0.526693389,-7442.7326299999995,17502.17139,7966.275627,615.8720228999999,532.0,764.0,10.0,4823.0,between 8 and 10 years,,0,0,bad
666,4048,14/03/2017,21782.578080000003,0.526280166,22438.25923,7503.681854,0.0,0.0,669.0,969.5,6.0,249718.0,between 1.5 and 2 years,,0,0,good
667,12420,1/8/17,2274.545967,0.526022884,237.708402,14940.44832,4002.903428,619.5707788,643.0,930.5,11.0,288715.0,less than 0.5 year,,0,0,bad
668,8167,13/02/2017,6892.929365999999,0.525750861,3037.627338,7336.278373,290.0786521,292.8487225,617.0,891.5,12.0,425257.0,,,0,0,bad
669,5652,14/03/2017,13545.87365,0.525673761,-6059.016684,6267.954372,1495.19505,327.3165841,630.0,911.0,18.0,66872.0,between 5 and 6 years,,0,0,bad
674,5049,3/6/17,9191.949295,0.524240668,2186.680102,18850.655619999998,0.0,0.0,632.0,914.0,30.0,28795.0,between 0.5 and 1 years,,0,0,bad
682,2127,4/1/17,10828.41675,0.520477514,11525.00226,3497.4707729999996,0.0,0.0,702.0,1019.0,3.0,23840.0,between 3 and 5 years,25.0,0,0,bad
683,4973,6/11/17,2468.271368,0.520291586,3451.796957,16452.26566,514.1050719,337.8486107,718.0,1043.0,14.0,132624.0,between 14 and 17 years,4.0,0,0,bad
684,9467,2/4/17,3789.8416380000003,0.520262114,1683.402938,4420.924652000001,0.0,0.0,689.0,999.5,4.0,28786.0,between 6 and 8 years,,0,0,good
685,20081,16/10/2016,14581.53632,0.519241991,12323.782720000001,7598.07642,1947.830875,461.48815470000005,604.0,872.0,15.0,2197.0,between 12 and 14 years,,0,0,bad
688,6825,6/7/17,9187.100909,0.518725866,4541.226275999999,6667.854557,736.627767,623.7834317,607.0,876.5,23.0,119514.0,between 2.5 and 3 years,2.0,0,0,bad
689,40054,10/8/16,17363.81886,0.518656541,16043.81152,3655.391247,493.7163788,277.5563943,639.0,924.5,,,,,0,0,bad
691,18741,11/9/16,6917.362911,0.5184764789999999,6186.087768,13112.77204,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,good
692,22743,9/11/17,5087.663176,0.5180915389999999,9154.436281999999,10799.631940000001,0.0,0.0,670.0,971.0,5.0,174594.0,,1.0,0,0,good
694,11744,7/9/17,10583.5234,0.517481737,-572.2068827,15478.834159999999,1977.5740620000001,465.9474267,621.0,897.5,7.0,81661.0,between 1 and 1.5 years,0.0,0,0,bad
695,4324,6/3/17,8466.400074,0.517103356,14193.609669999998,5905.341693,0.0,0.0,625.0,903.5,12.0,180103.0,between 5 and 6 years,24.0,0,0,bad
696,62,22/04/2017,-48.36170746,0.5170749960000001,-2134.122798,12212.612290000001,994.1179325999999,352.2746069,585.0,843.5,18.0,22918.0,,,0,1,bad
698,1831,4/3/17,5594.811511,0.516371956,-2344.8574289999997,32473.34286,2592.560277,309.025437,628.0,908.0,9.0,113041.0,,,0,0,bad
700,1496,30/04/2017,-4.321285259,0.514499233,-1942.16687,11878.1365,4341.016725,162.4845177,623.0,900.5,6.0,49769.0,between 0.5 and 1 years,0.0,0,1,bad
702,5635,3/7/17,5988.882820000001,0.513760576,695.9392222,14212.846469999999,531.5150981,181.89456909999998,671.0,972.5,18.0,56769.0,between 2 and 2.5 years,,0,0,bad
704,25482,10/10/17,-4.2072635819999995,0.512089936,-736.1690014,10830.59187,436.8994478,436.98822060000003,679.0,984.5,23.0,206411.0,between 1.5 and 2 years,0.0,0,0,bad
705,19907,9/3/17,7486.103155,0.511901241,9742.526736,5359.674287,3756.1713990000003,715.7733803,637.0,921.5,4.0,194391.0,between 8 and 10 years,0.0,0,0,bad
706,10483,7/10/17,5434.005058,0.51174786,744.3922075,19243.641630000002,2903.2549710000003,667.0637021000001,643.0,930.5,33.0,59822.0,between 8 and 10 years,0.0,0,0,bad
707,14076,13/08/2017,27060.671589999998,0.511701042,47929.93894,2150.7687,0.0,0.0,759.0,1104.5,4.0,645226.0,between 30 and 35 years,23.0,0,0,good
708,30339,17/10/2017,27648.631210000003,0.511632274,150020.533,76727.74084,0.0,0.0,786.0,1145.0,2.0,9355.0,between 10 and 12 years,2.0,0,0,good
710,35250,9/12/16,7505.452799,0.5114473070000001,1976.8499600000002,8320.769656999999,0.0,0.0,,-34.0,,,between 14 and 17 years,,0,0,bad
711,14467,28/12/2016,5410.972655,0.511304613,4981.478524,2502.790952,1203.041284,222.39770930000003,653.0,945.5,,52203.0,less than 0.5 year,,0,0,bad
713,14586,29/07/2017,17985.400540000002,0.511190761,1473.110999,29864.78785,0.0,0.0,630.0,911.0,5.0,243827.0,between 3 and 5 years,23.0,0,0,bad
715,9750,28/01/2017,812.7212955,0.510680359,6733.663669,12981.2786,872.9035038999999,875.4804478,649.0,939.5,29.0,81833.0,between 14 and 17 years,,0,0,bad
716,1410,5/3/17,-44.24298041,0.510470017,-1068.626454,20820.54635,722.1849154,221.85772590000002,623.0,900.5,8.0,636560.0,between 0.5 and 1 years,,0,0,bad
717,19616,22/10/2016,8944.250447,0.510417329,5815.782932,4125.246139,30.26391922,33.10482519,612.0,884.0,9.0,204014.0,between 2 and 2.5 years,,0,0,bad
719,23223,30/01/2017,4142.545828,0.509978896,379.0187247,5621.64798,0.0,0.0,677.0,981.5,0.0,173840.0,,,0,0,good
721,14957,22/03/2017,14846.347469999999,0.509016617,40106.17432,-3.036276792,0.0,0.0,713.0,1035.5,10.0,433032.0,between 6 and 8 years,,0,0,good
723,12853,24/01/2017,2684.604972,0.508470721,4586.531399,507.90995260000005,0.0,0.0,723.0,1050.5,4.0,266753.0,between 2.5 and 3 years,,0,0,good
725,22577,13/09/2016,-30.768124,0.5080764560000001,-5240.217682,20198.04263,2057.829499,695.7365344,683.0,990.5,34.0,13281.0,between 0.5 and 1 years,,0,0,bad
726,5902,26/02/2017,2560.117678,0.5080637139999999,992.3355391000001,6058.871229,1506.839698,267.3417432,621.0,897.5,5.0,33796.0,between 3 and 5 years,,0,1,bad
729,16381,29/11/2016,13997.46727,0.507329706,20851.62639,16529.315580000002,0.0,0.0,,-34.0,,,between 2 and 2.5 years,,0,0,bad
730,25474,21/05/2017,20150.54478,0.5071826979999999,4529.864815,21308.61455,0.0,0.0,704.0,1022.0,0.0,194482.0,less than 0.5 year,17.0,0,0,bad
734,22394,10/1/16,17016.663,0.506329692,1252.999323,17254.50537,0.0,0.0,593.0,855.5,25.0,9176.0,between 6 and 8 years,,0,0,bad
736,1979,4/4/17,9100.375708,0.506146178,14450.71766,5681.825879999999,0.0,0.0,678.0,983.0,13.0,149281.0,between 3 and 5 years,24.0,0,0,bad
739,4626,3/11/17,40.96228105,0.505581986,-3446.737772,13289.29118,1925.698852,473.3208692,606.0,875.0,51.0,55595.0,between 0.5 and 1 years,,0,1,bad
742,7226,6/7/17,7426.168271,0.504866566,-734.5487592000001,15728.72836,747.3728434,433.8050916,,-34.0,,,between 3 and 5 years,0.0,0,0,bad
743,15319,12/11/16,1355.3384230000001,0.504734055,10031.3109,9984.751979,1525.755404,459.0934968,634.0,917.0,19.0,184.0,between 30 and 35 years,,0,0,bad
744,21864,26/09/2016,2863.014821,0.504668837,3101.8580899999997,1707.496907,495.2050989,149.1257845,577.0,831.5,14.0,15017.0,between 17 and 20 years,,0,0,bad
745,15215,20/08/2017,9665.855576,0.504523641,8855.542459,11251.94353,852.2834105000001,395.8947768,613.0,885.5,9.0,129937.0,between 10 and 12 years,0.0,0,0,bad
746,15410,12/6/16,12352.476859999999,0.504492123,5832.991433,14456.01914,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,good
748,6074,29/05/2017,6386.204917,0.504371764,197.41804030000003,7828.643120000001,160.4018507,57.94009499,732.0,1064.0,4.0,207511.0,between 5 and 6 years,0.0,0,0,bad
749,12509,2/1/17,16050.462419999998,0.504202257,8116.175265999999,12311.46022,0.0,0.0,672.0,974.0,5.0,275512.0,between 14 and 17 years,,0,0,bad
750,16777,29/11/2016,5213.700129,0.5040204429999999,905.4975683,6490.101766,0.0,0.0,607.0,876.5,0.0,271854.0,,,0,1,bad
752,2256,4/2/17,65.95006233,0.503984025,-3359.388415,18478.0796,806.2425582000001,217.4220062,617.0,891.5,48.0,567340.0,less than 0.5 year,,0,0,bad
753,34057,26/09/2016,2.003507193,0.503636014,-6113.66831,26165.00604,1729.9157719999998,657.9869336,652.0,944.0,12.0,68454.0,between 5 and 6 years,,0,0,bad
757,10403,23/01/2017,7220.549681999999,0.5022564660000001,9445.050528,15051.64729,603.4496329,400.67836939999995,625.0,903.5,15.0,77998.0,,,0,1,bad
761,7225,22/02/2017,35.96893845,0.500759916,-888.2873561000001,5786.9271340000005,2762.39064,313.75859610000003,653.0,945.5,34.0,72773.0,between 5 and 6 years,,0,0,bad
765,13277,26/12/2016,2797.130745,0.499364672,6390.177466,3628.0112229999995,0.0,0.0,,-34.0,,,between 5 and 6 years,,0,0,good
766,21518,9/11/17,33810.66543,0.499355345,3041.065477,8188.116440000001,0.0,0.0,692.0,1004.0,8.0,307251.0,between 3 and 5 years,-4.0,0,0,good
769,10561,7/5/17,3758.48185,0.499039491,547.3275812999999,9517.123074,0.0,0.0,642.0,929.0,8.0,21019.0,,21.0,0,0,bad
770,20562,9/2/17,60.26183986,0.498813709,1491.918813,18634.459759999998,1707.7742850000002,440.3641268,689.0,999.5,16.0,72583.0,between 3 and 5 years,0.0,0,0,bad
775,9518,2/8/17,8946.509206,0.496706936,688.1523178,14716.85085,0.0,0.0,655.0,948.5,30.0,90269.0,between 8 and 10 years,,0,0,bad
776,2066,4/5/17,14832.21482,0.496681421,293.5489662,14715.917469999999,0.0,0.0,641.0,927.5,29.0,99211.0,between 1 and 1.5 years,28.0,0,0,bad
782,15552,15/08/2017,-16.63931124,0.495580022,50037.41623,66.07072351,0.0,0.0,669.0,969.5,22.0,318058.0,between 2.5 and 3 years,,0,0,good
783,2525,4/3/17,21560.64298,0.495241411,12716.578309999999,32198.260469999997,4631.745370000001,1031.5959369999998,713.0,1035.5,43.0,454689.0,between 1 and 1.5 years,0.0,0,0,bad
784,12409,16/07/2017,5979.821626,0.49497378399999997,8193.625015000001,1413.08716,457.6239717,207.34884240000002,651.0,942.5,14.0,57868.0,,14.0,0,0,good
788,3150,26/03/2017,3828.8982149999997,0.494432324,1896.5255670000001,4475.658208,0.0,0.0,742.0,1079.0,2.0,160866.0,less than 0.5 year,,0,0,good
789,4517,13/03/2017,5420.349137,0.49419099899999996,9052.109917,862.5717902000001,0.0,0.0,,-34.0,,,between 6 and 8 years,,0,0,bad
790,35301,8/6/16,,0.49373058299999995,-6377.789302,26479.35576,,,663.0,960.5,,,between 3 and 5 years,,0,0,bad
791,7464,2/12/17,3998.7747799999997,0.49332168,-586.0136955,10510.11339,80.22718974,74.54562411,697.0,1011.5,7.0,19719.0,,,0,0,bad
795,14483,1/11/17,5776.0365170000005,0.491770075,827.2899103,7372.912557,628.3699608,83.02448727,625.0,903.5,11.0,57811.0,between 20 and 25 years,,0,0,bad
797,547,15/04/2017,32463.29255,0.491710085,14110.67245,35950.86276,0.0,0.0,663.0,960.5,21.0,91852.0,between 1 and 1.5 years,26.0,0,0,bad
798,21797,10/1/16,5400.295029,0.491306158,9320.760932,4253.496739,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,good
799,5011,6/3/17,307.0703097,0.491092714,49925.830089999996,45.382929,0.0,0.0,630.0,911.0,7.0,42563.0,less than 0.5 year,28.0,0,0,good
800,386,18/04/2017,-33.83154432,0.491041006,-7001.711534,26819.19895,945.123626,884.6002606000001,667.0,966.5,26.0,45773.0,,,0,0,bad
802,7014,8/1/17,26988.08702,0.490834595,10537.59616,26704.00567,0.0,0.0,730.0,1061.0,5.0,463632.0,between 8 and 10 years,4.0,0,0,good
803,6752,15/02/2017,15242.25765,0.490511715,135.1666749,19829.55779,0.0,0.0,594.0,857.0,21.0,98416.0,between 5 and 6 years,,0,0,bad
804,25173,8/9/16,5195.155632,0.490200323,704.9447633999999,7316.3204829999995,1446.6551220000001,216.0764307,610.0,881.0,19.0,237977.0,between 6 and 8 years,,0,0,bad
807,8981,27/06/2017,9105.185002,0.48949267700000004,-303.507409,12370.57962,1309.499881,286.4563048,699.0,1014.5,6.0,38753.0,between 2.5 and 3 years,0.0,0,0,bad
808,43836,18/09/2016,32099.32112,0.48938715,30018.59348,6.567712564,918.2766785,893.4548742999999,601.0,867.5,5.0,211199.0,,,0,0,bad
811,15193,28/01/2017,5051.24204,0.488863692,1861.006925,7029.910566,0.0,0.0,695.0,1008.5,13.0,0.0,between 1.5 and 2 years,,0,0,bad
812,695,5/7/17,12588.72422,0.48878299799999997,13865.28011,6144.0667109999995,4145.9681310000005,795.0999829,673.0,975.5,26.0,21250.0,between 2 and 2.5 years,16.0,0,0,bad
814,4812,3/12/17,5585.468112,0.48841743600000004,2033.641856,7317.884083,0.0,0.0,607.0,876.5,8.0,59436.0,between 5 and 6 years,,0,0,bad
816,10775,7/10/17,-30.38113553,0.48836574899999996,-1114.446302,11157.2131,3486.2364399999997,582.7321697000001,758.0,1103.0,5.0,41837.0,less than 0.5 year,0.0,0,0,bad
817,6917,25/02/2017,5541.863869,0.488084125,19950.31111,13.99043211,0.0,0.0,724.0,1052.0,10.0,25962.0,,,0,0,good
818,11209,14/01/2017,24667.49697,0.487954669,6137.647416,28895.29923,0.0,0.0,604.0,872.0,0.0,0.0,between 12 and 14 years,,0,0,bad
819,33891,17/12/2016,22473.06537,0.487857355,2370.385921,25870.99989,0.0,0.0,660.0,956.0,27.0,31693.0,between 2 and 2.5 years,,0,0,bad
820,599,16/04/2017,14.69111214,0.487853181,2138.686327,17957.9253,6692.4546310000005,1209.9689720000001,636.0,920.0,25.0,379651.0,between 14 and 17 years,,0,0,bad
824,6327,6/3/17,32.36196088,0.48742775299999996,-4339.028497,24247.44033,889.9930017999999,885.8760123,670.0,971.0,21.0,277580.0,between 1.5 and 2 years,,0,0,bad
825,8329,2/7/17,-4.113665159,0.487356411,-5495.046121,25590.1638,3372.892082,853.2822136,654.0,947.0,42.0,524096.0,,,0,0,bad
827,7780,2/8/17,8400.504365,0.487107134,8783.449945,6245.254828,0.0,0.0,674.0,977.0,6.0,157085.0,,,0,0,good
828,10335,23/01/2017,1956.683047,0.48703309200000006,3959.5597350000003,1100.7982539999998,678.2609934999999,241.59604480000004,748.0,1088.0,2.0,90906.0,,,0,0,bad
831,6352,6/7/17,15176.32509,0.48626291,7091.4805129999995,12903.303090000001,0.0,0.0,617.0,891.5,24.0,23238.0,between 8 and 10 years,29.0,0,0,good
832,6269,3/6/17,53.55989272,0.486064379,1156.723444,8908.366296,919.9989293,222.31530409999996,666.0,965.0,31.0,180517.0,less than 0.5 year,,0,0,bad
834,17120,13/09/2017,7169.068747,0.486014357,464.3681755,11398.0817,0.0,0.0,532.0,764.0,9.0,355852.0,less than 0.5 year,6.0,0,0,bad
835,27096,17/10/2017,22424.63405,0.48584525100000003,32396.314389999996,17758.45131,0.0,0.0,689.0,999.5,5.0,53304.0,less than 0.5 year,21.0,0,0,good
837,9105,21/06/2017,23289.5094,0.485163503,1751.4036839999999,38352.319910000006,0.0,0.0,626.0,905.0,49.0,97637.0,between 8 and 10 years,4.0,0,0,bad
838,19079,11/5/16,14071.860180000001,0.485139176,21096.838030000003,3990.294746,0.0,0.0,,-34.0,,,between 30 and 35 years,,0,0,good
842,11370,7/11/17,32107.32113,0.484067694,700.5034735,43281.49385,0.0,0.0,607.0,876.5,23.0,880865.0,between 12 and 14 years,30.0,0,0,bad
847,8411,2/11/17,2053.554211,0.482885384,1079.0237300000001,3899.253235,626.3875122999999,226.3252281,643.0,930.5,15.0,79247.0,,,0,1,bad
848,30803,25/10/2017,321.79045460000003,0.48277405,355.62125580000003,9549.932496,6780.235022,576.5517536,622.0,899.0,6.0,47204.0,between 0.5 and 1 years,0.0,0,0,bad
850,832,24/04/2017,-7.622279373,0.482609471,-2231.418897,12231.05152,618.8923377,358.2697415,634.0,917.0,23.0,171276.0,less than 0.5 year,,0,0,bad
853,10780,24/01/2017,-79.14112339,0.48229838799999997,-1710.5635579999998,21719.36373,7548.096486,1102.714385,672.0,974.0,16.0,47800.0,between 10 and 12 years,,0,0,bad
854,10933,7/4/17,6334.193503,0.482235576,3845.6439479999995,6217.686284,0.0,0.0,696.0,1010.0,1.0,418921.0,between 2 and 2.5 years,12.0,0,0,good
855,4249,13/08/2017,-49.04525377,0.48204312200000005,-1624.308602,7573.802917,933.8950352,347.869096,746.0,1085.0,25.0,363341.0,less than 0.5 year,0.0,0,0,bad
858,11139,7/5/17,33.52874458,0.481244674,3929.241123,16099.089119999999,3077.984535,1166.4609050000001,658.0,953.0,2.0,3833.0,less than 0.5 year,0.0,0,0,bad
862,18685,19/11/2016,554.8320004,0.480623969,-7291.448373,37456.965410000004,3776.6057920000003,630.8774682,768.0,1118.0,3.0,5791.0,between 20 and 25 years,,0,0,bad
865,17936,25/01/2017,23399.09563,0.480077462,15560.33326,19436.956130000002,0.0,0.0,705.0,1023.5,17.0,635430.0,between 5 and 6 years,,0,0,bad
869,25420,10/3/17,27483.50605,0.479908127,1477.153665,31280.42595,0.0,0.0,655.0,948.5,4.0,21624.0,between 6 and 8 years,22.0,0,0,good
873,24365,23/08/2016,16860.636759999998,0.47957474899999997,5462.401561,9572.661220999998,0.0,0.0,,-34.0,,,between 17 and 20 years,,0,0,good
875,2275,5/7/17,7208.947322,0.47900548299999995,4520.3502020000005,5297.041415,0.0,0.0,755.0,1098.5,0.0,845897.0,between 20 and 25 years,9.0,0,0,good
878,5088,27/05/2017,20149.53509,0.47866823,2854.385279,18043.86696,0.0,0.0,601.0,867.5,11.0,273510.0,,18.0,0,0,good
880,14641,31/07/2017,-1.9788039309999998,0.478463056,1043.938534,18889.680790000002,887.3776629,662.8855051,614.0,887.0,15.0,64333.0,between 2.5 and 3 years,0.0,0,0,bad
881,19175,22/08/2017,3895.018611,0.47804745299999996,13955.54939,1013.3063119999999,0.0,0.0,708.0,1028.0,3.0,780.0,between 20 and 25 years,22.0,0,0,good
882,6028,21/03/2017,1180.43456,0.477716772,-341.05944619999997,20514.84175,12549.71529,941.6580909,677.0,981.5,6.0,614133.0,between 1 and 1.5 years,,0,0,bad
885,9943,7/9/17,33.4767792,0.47734241200000005,-5065.710118,25054.27511,966.4127823999999,713.5324138999999,633.0,915.5,61.0,335676.0,between 2 and 2.5 years,0.0,0,0,bad
888,23412,16/09/2017,1508.502008,0.477126007,321.0631053,11635.8291,3058.7502,481.45576789999996,669.0,969.5,6.0,24024.0,between 3 and 5 years,0.0,0,0,bad
895,13491,25/12/2016,-40.46566370000001,0.475665651,-7388.429409,33575.84996,5203.579264,310.1351072,636.0,920.0,48.0,11921.0,between 1 and 1.5 years,,0,0,bad
897,10684,7/9/17,16489.94819,0.475288845,18044.80374,21797.4132,6174.6293590000005,1134.768811,616.0,890.0,7.0,218465.0,between 20 and 25 years,0.0,0,0,bad
900,11305,15/01/2017,13722.741030000001,0.47438058899999996,29971.997069999998,-35.14237692,0.0,0.0,600.0,866.0,29.0,16094.0,,,0,0,good
903,17940,15/11/2016,2221.7882219999997,0.47351599200000005,600.7701248,9448.455038,862.7883339,228.53417290000002,652.0,944.0,27.0,63395.0,between 10 and 12 years,,0,0,bad
905,18474,11/9/16,34.72766377,0.47323945100000003,12038.33465,4.44287138,0.0,0.0,691.0,1002.5,2.0,172622.0,between 6 and 8 years,,0,0,good
906,12210,23/07/2017,10575.29514,0.473000965,3503.95251,11551.15293,0.0,0.0,645.0,933.5,12.0,166930.0,between 3 and 5 years,27.0,0,0,good
908,12439,22/08/2017,7125.150706999999,0.472792731,2179.9600530000002,15688.365069999998,6446.070409,1902.3581980000001,685.0,993.5,3.0,70556.0,between 2 and 2.5 years,0.0,0,0,bad
909,8328,28/05/2017,49375.93949,0.47165673799999996,50026.24123,32951.54795,0.0,0.0,697.0,1011.5,8.0,620685.0,,0.0,0,0,good
911,7244,3/6/17,7636.9912,0.471346621,2801.979244,7204.783929000001,0.0,0.0,656.0,950.0,33.0,57425.0,between 0.5 and 1 years,,0,0,bad
913,22493,9/5/17,14.35521533,0.470384088,-5848.533657999999,25763.526130000002,5237.527264,1110.0402789999998,659.0,954.5,15.0,88872.0,between 3 and 5 years,0.0,0,0,bad
915,21014,10/2/16,5568.130402000001,0.469994446,9021.154279999999,5411.073847,1290.278293,229.9504695,633.0,915.5,6.0,250455.0,between 2.5 and 3 years,,0,0,bad
918,1498,4/12/17,16925.14875,0.469722835,10018.70519,10093.13139,0.0,0.0,607.0,876.5,4.0,383150.0,between 10 and 12 years,5.0,0,0,good
924,1623,5/7/17,10047.51541,0.468298361,-669.8846248,20865.57822,927.6217542000002,715.2217977000001,617.0,891.5,12.0,30948.0,less than 0.5 year,0.0,0,0,bad
925,12787,29/07/2017,9981.767593999999,0.46808096899999996,9575.359972,5384.262659,0.0,0.0,654.0,947.0,19.0,750097.0,between 1.5 and 2 years,26.0,0,0,good
927,8022,25/02/2017,56.57040269,0.46779133700000003,6817.795631,,0.0,0.0,638.0,923.0,3.0,24342.0,less than 0.5 year,,0,0,good
928,23513,9/3/16,28788.969889999997,0.467688955,416.5236616,19991.50621,1062.385511,674.9260285,619.0,894.5,4.0,8399.0,between 0.5 and 1 years,,0,1,bad
930,10503,7/3/17,17380.01191,0.467120741,12826.62384,13012.53847,1540.207527,421.3225819,570.0,821.0,24.0,118375.0,between 1.5 and 2 years,6.0,0,0,bad
932,3670,29/03/2017,92.89202235,0.46701790200000004,16482.42234,3420.4260689999996,6117.671234,5005.763986999999,689.0,999.5,3.0,96775.0,between 8 and 10 years,,0,1,bad
933,13344,19/07/2017,14633.12468,0.46691817,6626.38739,13273.58661,0.0,0.0,785.0,1143.5,6.0,6118.0,between 6 and 8 years,20.0,0,0,bad
935,10656,18/01/2017,16.550181900000002,0.46668400600000004,19935.612930000003,-39.07128985,0.0,0.0,728.0,1058.0,4.0,113550.0,between 25 and 30 years,,0,0,good
939,15866,30/08/2017,1412.464572,0.46636931600000003,2299.271495,3706.7482119999995,497.86099069999995,246.93889769999998,703.0,1020.5,2.0,29429.0,between 1 and 1.5 years,2.0,0,0,bad
940,25018,22/08/2016,25893.259280000002,0.466101225,4391.337283,15640.405009999999,3550.046454,447.4065762,699.0,1014.5,20.0,42108.0,between 5 and 6 years,,0,1,bad
944,7408,13/02/2017,-25.71997074,0.46537511600000003,14969.161380000001,-22.6450177,2224.361816,883.6686113,662.0,959.0,3.0,5248.0,,,0,0,bad
945,2581,4/4/17,54.06338212,0.465246065,-1953.564585,17092.93035,7309.884252,514.6631216,,-34.0,0.0,0.0,,,0,1,bad
946,7280,14/06/2017,18695.79222,0.46518077399999996,20007.48809,18123.41843,84.18782642,91.37389077,566.0,815.0,14.0,244204.0,between 2 and 2.5 years,17.0,0,0,good
947,484,4/12/17,1239.5161039999998,0.464983431,5352.896982,766.52167,0.0,0.0,724.0,1052.0,2.0,55467.0,between 6 and 8 years,17.0,0,0,good
949,17274,8/9/17,2305.343596,0.464871904,216.3062892,5741.512925999999,691.0526912,237.9290462,695.0,1008.5,12.0,781173.0,between 1 and 1.5 years,0.0,0,0,bad
950,15325,29/07/2017,12416.66517,0.464771545,16578.58165,4515.07024,1217.6965380000001,670.7895798,627.0,906.5,17.0,422489.0,,10.0,0,0,bad
952,2703,15/05/2017,21875.49355,0.464540326,1809.413369,28411.692010000002,556.0548552,293.72939069999995,599.0,864.5,14.0,384806.0,between 1 and 1.5 years,2.0,0,0,bad
958,14090,23/07/2017,1138.028727,0.464079614,4103.623497,10999.14204,1367.232846,444.5049561000001,612.0,884.0,14.0,152508.0,,0.0,0,0,bad
961,2184,4/1/17,6769.399895999999,0.463407214,-2684.094006,27690.0433,0.0,0.0,634.0,917.0,19.0,18655.0,between 5 and 6 years,8.0,0,0,bad
962,333,5/6/17,-1.74033397,0.463339577,-1204.135272,41076.60548,14030.3016,1345.2406130000002,610.0,881.0,33.0,35705.0,less than 0.5 year,,0,0,bad
964,12556,16/07/2017,1414.282251,0.46306598,21.03817231,20002.86651,3523.3501100000003,870.0333529999999,679.0,984.5,13.0,208396.0,between 1 and 1.5 years,0.0,0,0,bad
966,5206,27/05/2017,17047.01585,0.46304594600000004,2692.972038,37512.11888,2621.480599,446.38046900000006,639.0,924.5,28.0,234271.0,between 2 and 2.5 years,0.0,0,0,bad
970,8423,2/6/17,741.5028142000001,0.46263469999999995,472.32666449999994,4714.501045,305.53774060000006,223.0876313,606.0,875.0,8.0,53280.0,between 12 and 14 years,,0,0,bad
